@relation 'Combined page and image based data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.SMOTE-C0-K5-P336.0-S1'

@attribute PctExtHyperlinks numeric
@attribute PctNullSelfRedirectHyperlinks numeric
@attribute FrequentDomainNameMismatch numeric
@attribute NumDash numeric
@attribute SubmitInfoToEmail numeric
@attribute NumDots numeric
@attribute FCTH18 numeric
@attribute FCTH24 numeric
@attribute FCTH25 numeric
@attribute FCTH42 numeric
@attribute FCTH43 numeric
@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns1' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns34' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns36' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns37' numeric
@attribute 'MPEG-7 Edge Histogram17' numeric
@attribute 'MPEG-7 Edge Histogram20' numeric
@attribute 'MPEG-7 Edge Histogram37' numeric
@attribute 'MPEG-7 Edge Histogram39' numeric
@attribute 'MPEG-7 Edge Histogram42' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute nom {0,1}

@data
0.782609,0,0.043478,0,0,1,1,1,2,1,1,3,5,4,0,1,15,27,16,13,15,0,0,0,0,0,0
0.8,0,0,0,0,6,0,4,2,0,0,4,6,11,5,7,16,12,15,2,16,0,2,0,0,0,0
0.8,0,0,0,2,6,1,4,0,0,0,3,4,9,2,3,15,16,16,18,16,0,0,0,0,0,0
0.826087,0,0,0,0,2,1,4,3,0,0,1,2,3,2,3,9,17,24,16,10,0,1,0,1,2,0
0,0,0,0,0,1,1,3,1,1,0,3,5,8,0,2,16,18,16,19,15,0,0,1,1,0,0
0.942529,0,0.007663,0,0,1,0,2,1,0,0,2,4,2,2,5,16,16,13,7,13,2,2,0,1,0,0
0.917355,0,0.016529,0,0,2,1,4,0,1,2,2,4,6,1,3,13,24,16,17,16,0,0,0,0,0,0
0.645183,0,0.007309,0,0,2,0,1,0,0,0,1,1,3,0,1,16,16,15,16,16,0,0,0,0,0,0
0.719792,0,0.008154,0,0,2,2,3,1,0,0,3,4,6,3,4,13,12,18,17,14,0,1,1,5,0,0
0.875,0,0.054688,0,0,1,0,1,1,0,0,6,9,9,5,7,16,14,15,23,16,2,0,0,0,0,0
0.9,0,0.1,0,0,2,0,4,2,0,0,4,5,6,2,3,17,7,14,24,17,0,0,1,1,1,0
0.855072,0,0.028986,0,0,2,0,1,0,0,0,1,1,2,0,0,16,15,16,16,16,1,0,0,0,0,0
0.974057,0,0.049528,0,0,2,1,3,0,1,2,1,2,2,3,4,15,8,17,14,13,0,1,0,1,0,0
0.766667,0,0.033333,4,0,1,1,2,2,0,0,3,6,6,2,5,15,16,14,16,15,0,1,1,1,5,0
0.929293,0,0.050505,0,0,1,1,3,0,0,0,4,5,8,8,8,15,16,15,15,16,0,0,0,1,1,0
0.809524,0,0.047619,0,0,2,0,2,0,0,0,0,1,3,0,0,16,16,15,16,16,0,0,0,0,0,0
0.818182,0,0.099174,0,0,2,0,3,2,0,1,1,2,3,0,3,19,5,13,4,16,0,0,0,1,4,0
0.592593,0,0.080247,0,0,2,0,1,0,0,0,1,1,2,0,1,16,15,16,16,16,1,0,0,0,0,0
0.920245,0,0.04908,0,0,2,6,2,1,0,1,1,2,4,1,2,16,14,16,9,16,0,0,0,0,1,0
0.940909,0,0.018182,0,0,2,0,2,1,0,0,0,1,2,1,1,15,7,16,2,17,0,3,0,1,0,0
0.853333,0,0.013333,1,3,3,7,3,2,3,0,4,6,7,3,3,14,17,15,14,16,1,1,3,2,1,0
0.83908,0,0.045977,0,0,1,0,0,0,0,0,0,0,1,0,0,16,15,16,16,15,0,0,0,0,0,0
0.948718,0,0.102564,0,0,1,1,2,2,0,0,2,4,5,2,3,22,24,9,24,16,0,1,2,6,0,0
0.754098,0,0.032787,0,0,1,3,4,0,0,0,1,3,7,2,6,18,3,17,4,15,1,3,0,0,0,0
0.980769,0,0.038462,0,1,2,0,2,1,0,0,1,3,6,0,1,16,15,15,18,16,0,0,0,0,0,0
0.974057,0,0.040094,0,0,1,1,4,4,0,0,4,7,8,3,7,17,25,15,28,15,0,1,1,0,3,0
0,0,0,0,0,2,1,3,1,0,0,2,3,6,0,1,16,16,16,15,18,0,1,0,2,1,0
0.5,0,0,0,0,1,0,3,0,0,0,4,7,12,3,5,11,19,13,17,19,0,2,0,0,3,0
0.829268,0,0.036585,0,0,2,0,3,0,0,0,1,1,3,1,2,15,15,16,16,16,0,0,1,0,0,0
0.783784,0,0,0,1,2,1,2,2,0,0,2,3,6,1,2,15,13,15,19,15,0,0,0,0,0,0
0.789474,0,0,0,2,2,1,5,1,1,0,3,3,6,2,3,13,15,13,13,13,0,2,1,2,2,0
0.796296,0,0.027778,0,0,2,0,3,2,0,0,1,3,3,2,4,16,29,15,12,16,3,6,7,6,2,0
0.628571,0,0.038095,0,0,1,3,5,1,0,0,1,4,12,2,3,15,13,14,16,17,1,1,0,0,3,0
0.8,0,0.028571,0,0,1,4,3,1,2,3,12,14,14,13,15,6,17,15,20,14,0,5,0,2,6,0
0.744966,0,0.020134,0,0,1,3,5,1,1,0,3,4,6,3,4,14,12,15,12,16,0,3,0,0,3,0
0.75,0,0,0,0,1,2,6,1,2,0,3,4,6,2,2,16,18,15,15,16,1,0,3,2,3,0
0.89011,0,0.216117,0,0,1,0,3,1,0,0,1,2,5,2,4,16,17,17,14,16,1,1,1,2,0,0
0.808696,0,0.008696,0,0,3,0,1,0,1,1,1,2,3,1,2,15,17,16,14,15,0,0,0,0,0,0
0.457364,0,0.031008,0,0,1,0,3,0,0,0,1,3,8,0,2,16,15,16,17,16,0,0,0,0,0,0
0.769231,0,0,0,0,1,1,0,0,0,3,10,13,9,9,11,17,16,16,15,15,0,0,0,0,3,0
0.938272,0,0.012346,0,0,1,0,3,3,0,0,1,2,4,2,3,15,2,15,15,17,0,1,0,2,1,0
0.465704,0,0.046931,0,0,2,1,4,3,0,0,3,6,8,3,4,21,8,8,9,19,0,2,1,1,3,0
0.863799,0,0.028674,0,0,1,0,1,2,0,0,2,2,2,2,2,14,28,16,15,15,0,1,0,0,0,0
0.688889,0,0.011111,0,0,1,5,1,1,0,0,4,6,10,7,9,16,11,14,15,17,0,0,1,0,1,0
