@relation 'AllFileNames-weka.filters.unsupervised.instance.imagefilter.FCTHFilter-DC:\\CODING\\JS(java)\\machineLearning\\Github\\Datasets\\Image-based\\Screenshots\\Combined-weka.filters.unsupervised.instance.imagefilter.EdgeHistogramFilter-DC:\\CODING\\JS(java)\\machineLearning\\Github\\Datasets\\Image-based\\Screenshots\\Combined-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-DC:\\CODING\\JS(java)\\machineLearning\\Github\\Datasets\\Image-based\\Screenshots\\Combined-weka.filters.unsupervised.instance.imagefilter.BinaryPatternsPyramidFilter-DC:\\CODING\\JS(java)\\machineLearning\\Github\\Datasets\\Image-based\\Screenshots\\Combined-weka.filters.unsupervised.attribute.Remove-R1,5-35,37,40-109,113-763,766-774,776-779,781-818,820-824,826-843,845-855,857-859,861-862,864-871,873-877,879-895,897-918,921-943,945-1062-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns1' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns2' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns34' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns36' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns37' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns108' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns109' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns110' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Edge Histogram28' numeric
@attribute 'MPEG-7 Edge Histogram34' numeric
@attribute 'MPEG-7 Edge Histogram53' numeric
@attribute 'MPEG-7 Edge Histogram65' numeric
@attribute 'MPEG-7 Edge Histogram69' numeric
@attribute 'MPEG-7 Edge Histogram72' numeric
@attribute FCTH1 numeric
@attribute FCTH7 numeric
@attribute FCTH25 numeric
@attribute FCTH48 numeric
@attribute FCTH49 numeric
@attribute FCTH73 numeric
@attribute CLASS_LABEL {0,1}

@data
2,4,2,9,1,4,3,4,1,14,12,16,17,1,3,0,0,0,0,6,0,2,1,0,0,0
2,3,1,3,2,3,4,6,2,16,15,15,16,1,0,0,0,1,0,0,0,0,1,0,0,0
3,5,2,8,3,5,7,9,4,16,17,15,16,0,1,0,0,0,1,3,0,2,1,1,0,0
11,15,9,15,10,15,11,13,8,16,12,15,14,5,4,6,0,1,2,2,0,2,0,0,0,0
2,4,1,4,3,5,3,5,2,16,9,15,15,1,1,3,5,5,2,3,2,2,2,1,1,0
2,4,1,6,3,6,4,6,3,20,17,15,19,4,2,1,3,3,1,2,0,2,1,1,1,0
1,3,2,8,0,2,1,5,4,16,14,16,15,2,1,0,1,4,2,0,0,0,1,0,0,0
3,4,2,9,2,3,4,6,2,16,16,15,15,1,1,1,0,0,0,0,0,0,1,0,0,0
1,1,0,3,1,2,1,2,0,16,16,16,19,1,1,0,1,2,0,0,0,0,1,0,0,0
1,2,1,4,1,2,2,4,2,16,10,16,16,2,2,0,0,1,0,1,0,1,1,0,0,0
6,9,4,9,5,7,8,10,4,15,16,17,16,2,3,2,3,5,0,7,3,1,0,0,0,0
3,5,3,6,3,6,2,5,3,17,16,14,15,4,4,1,0,3,0,2,1,2,1,1,1,0
1,2,1,3,2,3,1,2,1,16,19,16,16,3,0,3,4,4,2,2,0,3,1,1,1,0
3,6,3,8,2,4,4,8,4,14,14,18,15,1,1,4,5,5,3,5,1,3,1,2,1,0
3,5,0,4,2,2,6,10,1,14,16,15,15,0,1,0,4,4,0,6,0,3,0,0,1,0
1,2,0,4,1,2,1,2,1,16,15,16,16,0,1,1,2,1,0,7,0,1,0,1,0,0
5,7,2,7,8,10,3,4,1,14,13,18,15,4,2,1,0,0,0,1,0,0,0,0,0,0
3,4,1,6,4,5,3,3,2,15,15,17,16,1,3,0,1,0,0,1,0,1,1,1,1,0
7,9,4,10,7,11,7,6,2,17,11,15,20,3,5,3,1,4,1,2,0,2,1,0,0,0
4,6,2,6,6,7,2,4,1,15,15,16,14,1,1,5,1,3,5,6,1,2,1,1,0,0
1,4,3,9,0,2,1,5,3,16,14,16,15,3,1,3,0,3,1,0,0,0,1,0,0,0
5,7,2,8,4,6,6,8,3,14,17,18,14,1,3,1,5,3,3,6,0,2,0,1,1,0
1,3,1,3,5,8,2,3,1,14,15,16,16,0,0,0,0,0,0,7,0,1,0,0,0,0
6,9,3,7,7,10,7,11,3,14,16,16,16,6,2,4,1,2,0,2,2,1,0,1,0,0
4,6,3,7,4,5,4,7,3,12,15,19,16,1,4,5,0,1,0,3,0,2,1,2,1,0
2,3,1,4,3,5,0,0,0,17,19,16,15,2,5,0,0,0,0,1,0,1,1,0,0,0
2,4,2,5,3,4,0,0,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,3,5,2,4,5,8,4,13,18,15,15,3,5,4,0,2,1,7,1,4,0,3,2,0
3,5,2,6,5,7,5,7,3,14,15,14,12,4,3,0,3,1,5,1,3,1,1,1,0,0
1,3,2,7,1,5,1,3,1,15,15,15,14,0,1,1,1,2,1,7,0,2,1,1,0,0
3,4,2,6,2,3,3,5,2,11,15,20,15,7,3,5,1,4,4,7,1,3,0,2,1,0
3,4,1,7,3,3,4,5,2,16,16,16,15,0,0,1,2,3,1,7,0,3,0,1,1,0
6,8,3,11,8,12,6,8,3,16,15,14,18,5,3,1,0,4,3,4,4,1,0,0,0,0
3,8,4,9,4,9,6,12,6,17,15,14,15,1,4,0,0,2,1,1,0,1,1,0,0,0
2,3,1,6,1,2,6,7,4,15,16,16,15,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,1,4,2,3,1,2,0,16,12,15,15,1,1,1,1,2,2,7,0,3,1,2,1,0
4,6,2,11,5,7,5,7,2,16,15,15,15,1,0,1,0,1,1,7,0,2,2,0,0,0
2,3,1,5,3,4,1,1,0,14,16,18,15,1,3,2,1,1,1,2,0,1,2,1,1,0
4,5,2,10,4,6,4,5,2,17,14,13,16,2,1,0,0,0,2,7,0,2,1,0,0,0
0,1,0,2,1,1,0,2,1,15,15,15,15,0,1,0,1,1,2,0,0,1,1,0,0,0
1,1,0,3,1,1,6,7,3,16,17,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0
3,4,2,6,2,3,4,6,3,14,10,15,17,5,4,1,5,2,4,3,1,2,1,1,1,0
1,1,0,3,0,0,2,2,0,16,15,15,15,1,0,0,0,3,1,0,0,0,1,0,0,0
4,5,2,10,5,6,4,5,2,16,16,16,15,3,1,1,0,0,0,0,0,0,1,0,0,0
3,3,1,4,2,3,2,2,1,17,17,14,12,1,4,3,1,1,1,0,0,2,1,0,0,0
3,4,2,6,5,7,2,3,1,17,20,16,15,0,1,2,0,0,1,4,2,1,1,1,0,0
3,4,2,6,3,5,3,5,2,15,16,15,16,3,4,1,0,2,4,3,1,1,0,1,0,0
0,1,0,2,1,1,1,1,0,16,15,15,15,1,3,0,1,0,0,7,0,1,0,1,0,0
4,5,1,8,2,4,7,7,2,14,12,14,13,0,2,3,1,2,3,1,0,2,1,0,0,0
10,13,2,9,9,11,12,15,2,15,15,16,15,1,0,0,0,1,0,2,0,0,0,0,0,0
2,3,1,6,0,1,3,3,1,16,14,16,15,1,2,1,0,0,1,1,0,1,1,0,0,0
1,4,2,10,3,5,1,6,4,15,17,16,14,1,2,1,1,1,2,7,0,1,1,0,0,0
2,4,3,5,1,2,1,3,2,18,16,15,16,0,0,0,3,4,5,2,1,1,1,1,1,0
2,3,1,4,1,1,5,8,2,12,15,18,16,0,1,4,0,1,1,2,1,1,1,0,0,0
1,4,2,8,2,7,0,2,1,15,16,16,15,3,3,1,1,0,1,2,0,1,1,1,0,0
1,1,0,2,0,0,1,2,0,16,16,16,15,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,0,4,2,3,2,2,0,16,11,15,16,1,1,1,0,0,0,3,0,2,0,0,0,0
2,3,1,5,1,2,6,7,3,15,16,15,16,1,2,0,0,2,1,1,0,1,2,1,0,0
4,5,1,4,5,7,3,4,1,18,12,15,10,2,6,0,0,1,1,2,0,2,0,0,0,0
3,4,2,8,3,6,3,5,2,15,16,15,16,1,0,0,0,0,1,0,0,0,1,0,0,0
2,4,2,6,1,3,1,3,2,17,9,15,14,2,0,2,6,3,3,2,0,0,1,1,0,0
2,4,2,2,2,5,1,3,1,21,19,14,14,1,2,1,1,2,1,2,4,1,0,0,1,0
3,4,1,6,2,2,4,5,1,17,13,12,15,1,1,2,1,2,5,2,0,1,2,1,0,0
0,2,1,5,0,1,0,2,1,15,14,16,15,0,0,1,1,2,1,1,0,1,1,0,1,0
1,2,1,4,0,1,2,3,1,17,15,15,12,2,4,1,1,2,1,2,0,2,1,1,1,0
1,2,1,4,1,2,5,6,3,16,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,5,3,4,3,4,2,16,15,15,16,6,3,2,2,4,1,6,0,3,0,1,1,0
2,5,1,4,4,5,2,4,2,16,13,16,16,0,0,4,1,2,5,4,0,3,0,1,1,0
4,6,2,8,2,3,5,7,3,14,12,14,14,1,3,4,3,3,6,3,0,2,2,1,1,0
5,7,1,6,7,10,4,5,1,16,15,15,17,1,0,1,0,2,0,3,0,2,0,0,0,0
5,7,2,7,9,12,3,4,1,15,20,15,15,2,1,0,0,2,1,6,0,3,1,1,1,0
3,5,2,4,3,6,3,5,3,12,17,15,15,6,6,5,3,3,5,2,2,2,1,1,1,0
1,2,1,5,2,4,2,3,1,16,14,16,15,0,4,0,0,0,0,0,0,1,1,0,0,0
2,5,1,6,2,3,2,6,1,16,10,16,15,1,1,4,4,3,1,3,0,2,1,1,0,0
2,3,1,2,1,2,2,4,0,21,13,13,29,0,3,0,1,2,1,3,2,1,0,0,0,0
2,4,2,7,1,3,2,4,2,15,13,15,18,1,1,1,0,1,0,7,0,3,1,1,0,0
3,5,2,7,2,5,1,3,2,20,11,14,11,2,0,1,5,6,2,5,1,3,1,2,1,0
6,9,3,9,3,4,4,4,1,14,17,15,18,3,3,3,0,1,1,3,0,1,0,1,1,0
0,1,0,3,0,0,2,4,2,15,15,16,16,1,0,0,0,1,0,0,0,0,0,0,0,0
3,5,2,6,2,4,5,8,3,20,13,11,15,1,3,3,1,1,2,3,1,2,1,1,1,0
2,4,1,4,1,2,2,4,1,15,15,14,14,3,5,5,0,0,0,4,1,1,0,1,1,0
3,4,1,2,1,3,3,4,0,15,14,15,13,0,1,1,1,1,0,1,0,1,0,1,0,0
4,5,1,4,1,1,9,13,2,17,14,15,15,3,4,4,0,0,2,5,0,2,0,1,1,0
2,3,1,2,1,2,1,1,0,16,16,16,16,0,0,0,0,0,0,0,0,1,0,0,0,0
2,4,2,5,2,3,3,5,2,19,14,14,17,6,2,4,4,4,4,3,0,2,1,2,1,0
1,1,0,3,1,2,2,2,0,16,15,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0
4,6,2,7,3,5,5,8,3,14,13,16,15,0,2,3,3,3,4,3,3,3,1,1,1,0
3,4,2,5,2,3,1,3,2,16,14,18,15,1,0,2,3,1,1,2,1,2,1,1,1,0
3,6,2,6,2,3,3,5,2,18,16,16,11,2,2,1,1,2,0,3,0,3,1,1,1,0
4,7,3,12,3,5,3,5,3,18,16,15,15,3,0,1,0,1,0,0,1,0,1,0,0,0
2,3,1,5,3,4,2,4,1,20,12,10,15,6,2,7,0,3,1,1,0,0,1,0,0,0
3,4,1,6,3,4,4,6,2,17,12,17,16,1,4,0,4,3,1,1,0,1,1,1,1,0
3,5,5,4,4,6,3,4,3,16,15,14,15,6,1,1,1,1,4,4,4,2,0,2,1,0
2,2,0,3,1,1,3,5,0,14,10,16,14,1,2,3,3,1,0,7,1,2,0,2,1,0
2,3,1,5,1,2,3,4,1,16,15,16,14,1,1,0,0,0,0,0,0,0,1,0,0,0
2,3,0,2,2,2,2,4,0,16,15,16,16,1,5,4,0,1,1,7,0,3,0,1,1,0
1,4,3,12,2,3,1,5,3,17,17,15,14,1,0,1,0,0,1,7,0,1,1,0,0,0
1,3,1,3,2,4,1,3,1,14,15,18,14,6,4,3,0,2,4,5,2,2,0,2,1,0
1,3,2,9,1,3,0,3,2,16,13,15,16,1,3,2,1,0,1,3,0,2,1,1,1,0
1,1,0,1,1,2,1,1,0,15,16,15,15,0,1,2,1,1,1,2,0,2,2,0,0,0
4,6,1,4,4,6,5,6,1,15,17,15,17,2,0,2,1,2,2,2,0,2,0,0,0,0
6,8,2,8,5,6,5,7,3,16,16,16,16,4,1,0,0,1,0,0,0,0,0,0,0,0
4,6,3,10,7,9,1,2,2,15,16,15,15,0,0,0,2,6,4,1,0,1,0,0,0,0
4,6,2,6,1,2,3,5,1,11,17,22,17,2,3,3,1,1,0,3,0,2,2,1,1,0
6,9,3,6,6,10,6,9,2,15,10,16,17,2,2,3,0,1,0,6,0,3,1,1,1,0
3,4,1,3,2,3,4,6,2,12,12,18,14,1,3,2,0,4,0,2,0,2,1,0,1,0
1,1,0,3,0,1,2,3,1,15,15,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0
2,4,1,5,2,3,0,0,0,15,17,16,16,1,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,15,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,6,3,4,3,4,0,19,16,15,15,2,1,0,1,2,3,1,0,1,1,0,0,0
4,5,1,6,4,5,7,8,1,16,15,15,15,3,4,0,0,0,0,6,6,1,0,0,0,0
2,3,1,3,2,3,1,2,1,16,16,14,17,3,2,3,0,1,0,3,0,2,1,1,1,0
3,6,2,10,5,7,1,2,1,15,16,16,16,1,2,1,0,0,1,0,2,1,1,0,0,0
1,1,0,2,0,1,2,2,1,16,15,16,15,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,0,4,6,7,1,2,0,22,13,12,23,2,0,0,0,1,1,0,0,0,0,0,0,0
1,2,1,3,0,0,2,3,1,14,13,16,16,0,3,4,1,5,0,1,2,1,1,0,0,0
3,4,2,6,3,4,2,4,2,16,14,17,15,2,2,1,0,3,1,7,1,3,1,2,0,0
4,5,2,6,2,3,5,7,3,15,7,14,16,1,3,3,4,4,3,3,4,2,1,1,1,0
5,8,2,5,5,6,5,7,2,14,15,15,16,4,3,0,2,3,5,5,0,2,0,1,1,0
4,7,3,8,3,7,2,6,3,14,25,16,16,1,2,1,1,2,1,4,0,4,1,2,1,0
8,13,4,12,5,10,7,10,4,15,12,15,16,2,2,5,4,4,4,7,0,3,1,2,1,0
3,6,2,6,2,5,1,4,1,16,14,17,16,3,1,3,3,2,6,2,1,2,1,1,1,0
2,3,1,3,3,3,4,5,1,12,15,20,15,0,3,1,1,2,0,1,0,1,1,0,1,0
3,5,2,7,3,4,5,7,3,18,16,12,16,5,1,0,0,4,0,6,0,3,1,1,1,0
2,3,1,4,4,4,2,3,1,16,17,16,15,1,0,0,0,0,1,1,0,2,0,0,1,0
2,4,1,10,1,4,2,3,1,13,15,16,5,1,2,0,0,3,1,1,4,1,0,0,0,0
3,5,1,6,2,4,3,5,1,9,14,17,7,0,1,1,1,0,0,1,0,2,1,0,0,0
1,3,1,6,0,1,2,5,1,16,16,16,16,6,5,0,0,3,1,1,0,1,1,1,1,0
1,2,1,5,3,3,1,1,1,16,14,16,16,1,1,0,4,2,1,0,0,0,1,0,0,0
3,5,2,7,2,4,5,8,3,16,16,15,14,1,3,1,1,1,5,7,0,3,0,2,1,0
2,4,2,8,2,4,3,4,2,16,14,16,15,1,2,1,3,2,3,6,2,3,1,1,1,0
3,4,2,5,2,3,3,4,2,12,17,15,14,2,1,6,3,3,6,4,0,2,1,1,1,0
3,6,3,8,3,4,3,6,3,14,6,13,15,1,1,2,3,4,4,7,0,3,1,2,2,0
3,3,1,4,3,4,3,4,0,14,15,17,16,1,3,5,0,2,1,7,0,2,0,1,0,0
0,0,0,1,0,0,0,0,0,16,16,16,15,1,2,0,0,0,0,0,0,0,0,0,0,0
2,3,1,6,3,4,2,3,1,16,15,15,15,0,2,0,1,3,2,0,1,0,1,0,0,0
3,5,1,6,4,6,7,10,2,20,15,12,14,2,2,3,1,2,0,1,1,1,1,1,1,0
3,5,1,5,2,4,3,5,2,15,16,15,16,0,1,0,0,1,0,0,1,0,0,0,0,0
1,2,1,4,2,3,2,2,0,16,16,15,16,1,1,0,0,0,0,0,0,0,1,0,0,0
3,6,1,7,7,8,2,5,0,18,9,16,15,2,1,0,5,2,1,5,0,2,1,1,0,0
1,2,0,3,1,3,3,5,1,17,20,14,15,0,1,0,2,1,0,3,0,3,1,1,1,0
1,1,0,3,6,6,2,3,1,15,15,16,15,2,2,1,0,0,0,0,0,0,1,0,0,0
3,6,2,5,3,5,3,7,3,19,19,17,13,2,2,0,2,3,4,3,0,3,1,1,1,0
7,9,6,9,4,5,7,9,5,12,15,20,15,2,5,3,0,2,2,5,0,3,1,3,1,0
3,5,1,4,0,1,10,15,2,15,13,16,16,0,0,0,0,2,1,4,0,2,0,0,0,0
3,5,2,7,1,2,6,8,3,16,14,15,15,1,0,1,0,2,0,1,0,1,2,0,0,0
12,14,7,14,13,15,12,14,7,17,16,19,25,4,2,0,3,5,1,1,0,1,1,0,0,0
6,10,4,11,6,11,5,8,4,14,13,16,21,2,6,3,5,4,2,3,0,3,2,1,1,0
0,1,1,3,1,2,0,2,1,16,10,16,16,5,6,0,0,0,0,2,0,2,1,1,1,0
2,4,1,5,3,4,2,3,1,13,14,18,10,0,1,1,0,1,2,2,0,3,1,0,0,0
2,2,1,3,2,3,5,7,3,20,15,11,15,2,1,0,0,1,0,2,0,2,1,1,0,0
1,3,1,8,1,2,3,4,2,15,18,16,16,0,1,0,0,0,1,3,0,1,0,1,0,0
2,3,1,4,2,2,5,5,1,17,17,18,15,1,5,0,1,1,0,2,0,2,1,1,0,0
1,1,0,3,2,4,2,3,1,13,11,15,15,2,2,0,1,0,2,2,0,1,1,0,0,0
5,7,2,6,4,5,6,9,2,16,14,15,15,0,2,0,1,1,0,2,1,2,0,1,1,0
4,5,3,10,3,5,4,5,3,15,15,16,16,0,1,1,0,0,0,0,0,0,1,0,0,0
3,6,2,8,1,2,5,9,3,19,18,14,11,1,0,2,1,3,1,2,0,1,1,1,1,0
0,1,0,2,0,0,2,4,2,19,10,18,15,1,0,1,5,4,4,1,1,1,1,1,0,0
1,2,1,3,1,2,3,5,1,15,14,15,16,1,1,0,0,1,0,0,0,0,0,0,0,0
3,4,1,5,2,4,5,8,3,16,20,16,16,1,1,0,0,1,0,2,0,2,1,0,0,0
4,6,2,7,3,3,3,4,1,16,14,16,15,2,0,0,0,3,1,1,0,2,1,0,0,0
3,4,2,6,3,4,3,4,1,15,15,16,18,0,2,1,0,0,0,1,6,1,1,0,1,0
4,8,1,9,5,12,3,6,2,22,16,12,15,2,1,0,0,2,1,2,0,1,1,1,1,0
2,3,1,5,3,5,2,2,1,15,11,15,16,4,4,0,1,3,0,2,0,1,1,0,0,0
3,3,1,6,2,3,3,3,1,16,13,14,16,0,0,4,0,2,1,1,0,1,2,0,0,0
2,3,1,5,4,5,2,3,1,17,14,14,15,1,3,1,0,1,0,2,0,1,1,0,0,0
4,5,1,5,5,6,4,4,1,15,19,17,16,3,1,0,0,1,1,7,1,3,0,2,0,0
2,4,2,6,2,4,0,3,0,16,15,15,15,1,2,0,0,0,0,5,0,2,2,0,0,0
2,2,0,2,2,2,2,2,0,15,17,15,16,0,0,0,0,2,0,5,0,2,0,0,0,0
4,5,3,8,3,3,1,1,0,15,16,16,16,0,6,3,1,3,0,2,0,1,1,0,0,0
3,5,2,7,1,3,2,3,1,13,16,18,18,0,3,1,0,1,1,1,0,0,1,0,0,0
1,3,2,7,2,6,0,1,1,15,16,16,14,3,3,0,0,0,0,4,0,0,1,0,0,0
4,5,2,13,4,7,3,4,2,15,15,16,16,1,4,2,0,0,1,1,0,1,1,0,0,0
5,6,1,5,2,4,5,6,1,14,6,15,15,2,2,1,2,1,0,4,7,1,0,0,0,0
3,5,2,8,0,2,3,6,2,15,15,16,15,0,3,2,0,1,2,0,0,1,2,0,0,0
3,4,1,6,3,4,4,4,1,16,17,15,16,0,0,2,1,1,1,3,0,1,2,0,0,0
4,5,2,8,8,8,3,4,2,16,16,15,16,0,0,0,0,0,1,0,0,0,1,0,0,0
3,4,1,6,4,6,1,4,0,18,11,15,15,2,2,0,3,0,1,3,0,2,1,1,0,0
2,3,1,3,1,2,3,6,2,11,15,14,10,1,5,2,3,3,1,3,2,2,1,2,1,0
2,5,2,6,3,7,1,3,1,14,13,15,16,2,3,3,1,3,1,0,7,0,0,0,0,0
1,3,1,5,1,2,2,4,2,16,17,17,16,3,2,3,2,1,2,2,0,2,1,1,1,0
2,4,1,3,1,2,4,6,1,15,17,16,14,1,2,1,2,3,2,2,0,1,0,1,0,0
3,5,2,3,2,4,2,5,2,16,8,14,15,2,3,1,0,0,1,3,0,3,0,1,1,0
1,2,1,4,1,2,2,2,1,14,14,16,14,0,1,3,0,0,0,1,0,1,1,1,1,0
1,2,0,3,1,1,0,0,0,14,15,17,18,0,1,3,0,1,1,2,0,1,2,1,0,0
3,4,1,5,2,2,3,3,1,11,15,16,25,0,2,0,0,0,0,2,6,2,1,1,1,0
2,4,1,4,2,3,3,4,2,18,13,14,17,0,5,4,0,2,1,5,1,2,0,0,0,0
3,4,2,7,1,1,6,10,5,17,12,15,15,0,2,1,2,2,1,7,0,4,0,1,0,0
2,3,1,5,6,7,2,2,0,14,14,17,17,1,3,3,0,0,0,2,1,1,1,0,0,0
4,6,2,8,6,10,2,4,2,21,17,10,15,4,2,2,1,1,1,7,0,2,1,2,1,0
4,6,2,6,5,7,6,8,3,17,16,16,15,0,2,0,3,5,5,3,0,3,1,1,1,0
5,6,2,9,4,6,5,7,2,16,16,15,16,3,4,1,0,0,0,0,0,1,1,0,0,0
2,3,1,6,1,2,6,7,2,16,12,16,16,0,3,2,1,1,1,1,0,2,1,0,0,0
1,5,3,13,2,5,1,5,4,16,15,14,15,3,3,3,0,2,3,7,0,0,2,0,0,0
1,2,1,3,0,3,1,2,1,14,15,14,16,1,3,1,3,0,1,7,0,2,0,1,1,0
3,6,3,6,4,5,2,4,3,16,12,17,18,3,0,1,6,4,5,3,0,2,1,1,1,0
3,4,2,5,0,1,8,11,7,17,14,17,14,1,1,2,4,7,2,1,0,1,2,0,0,0
2,3,1,7,1,1,3,4,1,16,17,16,16,0,3,4,4,1,3,7,0,2,0,1,0,0
3,5,3,5,2,4,3,5,2,18,16,14,14,3,6,3,1,3,4,7,1,4,1,3,2,0
4,10,3,7,3,10,2,5,3,14,15,17,16,2,2,3,2,5,6,6,0,4,1,5,2,0
0,0,0,2,0,0,0,0,0,16,17,16,16,0,0,3,0,0,3,1,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,17,15,16,17,1,4,0,3,5,5,2,0,3,0,0,0,1
1,2,1,3,3,6,0,0,0,14,12,15,14,0,0,0,0,1,0,2,0,1,0,0,0,1
0,1,0,1,0,1,0,1,0,16,15,16,6,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,2,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,15,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,0,0,2,0,17,17,15,16,0,0,2,1,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,15,16,16,15,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,2,0,0,1,2,0,18,16,15,13,0,0,0,0,0,0,6,2,3,0,0,0,1
0,0,0,2,0,0,0,0,0,10,15,15,16,1,0,0,0,1,0,6,0,2,2,0,0,1
0,0,0,2,0,0,0,0,0,12,19,17,14,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,13,17,19,14,0,0,0,0,0,0,1,0,1,0,0,0,1
1,2,0,3,0,0,0,2,1,14,16,16,18,2,0,0,1,4,1,7,1,0,0,0,0,1
0,1,0,1,0,1,0,1,0,15,15,17,18,0,0,0,0,2,1,1,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,15,15,16,15,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,5,0,0,0,0,0,16,15,15,16,0,0,0,0,2,0,1,2,2,0,0,0,1
0,1,0,3,0,0,0,0,0,15,17,15,15,1,1,0,0,1,0,7,0,2,0,1,0,1
0,0,0,1,0,0,0,0,0,17,16,14,16,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,2,0,0,0,0,0,16,15,15,15,2,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,3,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,16,16,16,16,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,3,1,3,0,0,0,16,16,16,16,4,5,2,0,0,0,1,0,1,1,0,0,1
0,1,0,1,0,0,0,1,0,15,16,16,15,0,0,1,0,1,0,2,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,9,11,20,16,0,0,0,0,1,0,3,0,5,0,0,0,1
0,1,0,0,0,0,0,1,0,15,17,16,16,0,0,1,0,0,0,1,0,1,0,0,0,1
0,0,0,1,0,0,0,1,0,15,15,16,16,1,0,0,0,0,0,2,0,1,0,0,0,1
