@relation imageAnalyzerDataset-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last

@attribute numTagsInHtml numeric
@attribute numTagsInHead numeric
@attribute numTagsInMain numeric
@attribute numTagsInBody numeric
@attribute pctImgTags numeric
@attribute totalWidth numeric
@attribute totalHeight numeric
@attribute IMredMean numeric
@attribute IMredStdDev numeric
@attribute IMgreenMean numeric
@attribute IMgreenStdDev numeric
@attribute IMblueMean numeric
@attribute IMblueStdDev numeric
@attribute IMalphaChannel numeric
@attribute IMgamma numeric
@attribute numBoldTags numeric
@attribute averageFontWeight numeric
@attribute mostUsedFont {'\"Poppins\"',serif,Helvetica,'\"HiraginoKakuGothicProW3\"',hero-new,roboto,Inter,Arial,opensans,Roboto,arial,HelveticaNeueLT,sourcesanspro,'\"SFProText\"',OptimisticText,GraphikWeb,Whitney,'\"SourceSansPro\"',SegoeUI,'\"HaasGrotTextRWeb\"','\"Roboto\"','\"TrebuchetMS\"',YahooSansFinance,ProximaNova}
@attribute averageFontSize numeric
@attribute numStyles numeric
@attribute mostUsedStyle {underline,italic}
@attribute pctItalics numeric
@attribute pctUnderline numeric
@attribute imageOverlappingTop numeric
@attribute favicon numeric
@attribute classVal {legit,phish}

@data
3,8,0,41,0,1342,778,28.6943,36.2482,36.6548,22.4807,58.1247,17.1698,1,0.454545,1,365.384615,'\"Poppins\"',15.6,1,underline,0,0.009615,0,0,phish
3,8,0,9,0,1366,366,121.983,100.698,132.428,92.5862,142.252,84.9597,1,0.454545,2,440,serif,24.59,1,underline,0,0.025,0,0,phish
3,8,0,9,0,1366,366,121.983,100.698,132.428,92.5862,142.252,84.9597,1,0.454545,2,440,serif,24.59,1,underline,0,0.025,0,0,phish
3,7,0,7,0,1366,598,254.497,9.00886,254.497,9.00886,254.497,9.00886,1,0.454545,1,405.555556,Helvetica,15.833331,0,?,0,0,0,0,phish
3,8,0,9,0,1366,386,127.386,101.811,137.345,93.6437,146.692,85.9839,1,0.454545,2,440,serif,24.59,1,underline,0,0.025,0,0,phish
3,19,0,105,0.007874,1354,648,252.78,16.6477,252.258,17.4379,250.993,24.1493,1,0.454545,4,409.52381,'\"HiraginoKakuGothicProW3\"',13.484127,7,italic,0.02381,0.003968,0,0,phish
2,55,68,151,0,1342,3838,174.13,98.4231,180.794,89.7194,188.583,87.3738,1,0.454545,6,378.4689,hero-new,16.578947,0,?,0,0,0,1,legit
2,21,0,367,0.002558,1366,598,252.27,22.3933,252.973,16.1606,253.925,11.0919,1,0.454545,15,403.856041,roboto,12.968551,0,?,0,0,0,0,legit
2,21,0,367,0.002558,1366,598,252.27,22.3933,252.973,16.1606,253.925,11.0919,1,0.454545,15,403.856041,roboto,12.968551,0,?,0,0,0,0,legit
2,79,0,1461,0.019443,1342,2969,158.114,114.543,167.038,105.278,171.37,101.727,1,0.454545,108,408.813999,Inter,14.68827,1,underline,0,0.000324,0,0,legit
3,4,0,17,0.041667,1366,187,249.368,30.7445,249.251,30.5745,249.942,28.6988,1,0.454545,2,425,Arial,13.95,4,underline,0,0.083333,0,0,legit
2,43,0,13,0,1342,3172,157.074,76.0243,156.944,75.7895,156.981,75.7245,1,0.454545,0,400,serif,10,0,?,0,0,0,1,legit
7,98,752,1000,0.00362,1342,6891,180.83,85.5679,181.895,84.9164,184.485,83.6378,1,0.454545,41,411.212397,opensans,15.430538,4,italic,0.001823,0,0,1,legit
