@relation 'feature_compiled_all-weka.filters.unsupervised.attribute.Remove-R46-50,53,56-60-weka.filters.unsupervised.attribute.Remove-R2-4,6-26,28-33,36-38,40-47-weka.filters.unsupervised.attribute.Remove-R7'

@attribute NumDots numeric
@attribute NumDash numeric
@attribute PctExtHyperlinks numeric
@attribute PctNullSelfRedirectHyperlinks numeric
@attribute FrequentDomainNameMismatch numeric
@attribute SubmitInfoToEmail numeric
@attribute CLASS_LABEL {0,1}

@data
3,0,0,0,0,0,1
3,0,0,0,0,0,1
3,0,0.375,0,0,0,1
3,1,1,0,1,1,1
3,0,1,0,1,0,1
3,1,0.1,0,0,0,1
2,0,0.909091,0,1,0,1
1,0,0,0,0,0,1
8,1,0,0.975,0,0,1
2,0,1,0,1,0,1
5,1,0,0.975,0,0,1
2,0,1,0,1,0,1
2,1,0,1,0,0,1
2,0,0,0,0,0,1
2,1,0,1,0,0,1
3,0,1,0,0,0,1
3,0,0,0,1,0,1
3,1,1,0,1,0,1
2,0,0,0,0,0,1
1,0,0,0.923077,0,0,1
1,0,0,1,0,0,1
5,0,0,0,0,0,1
2,1,0.833333,0.083333,0,0,1
1,2,0,0,0,0,1
4,0,1,0,1,0,1
5,3,0,0,0,0,1
2,0,0,1,1,0,1
6,2,0,0,0,0,1
2,2,0,0,0,0,1
5,0,0.655172,0.103448,1,0,1
2,0,0,1,0,0,1
2,0,1,0,0,0,1
3,0,0,1,0,0,1
2,1,0,0,0,0,1
2,0,0.75,0.125,0,0,1
6,1,1,0,1,0,1
6,1,1,0,1,0,1
2,0,0,0,0,0,1
2,2,0,1,0,0,1
3,2,0,0,1,0,1
1,0,1,0,0,0,1
3,1,1,0,1,0,1
2,0,1,0,0,0,1
3,0,0.777778,0.222222,0,0,1
5,0,0,0,0,0,1
3,0,0.5,0,0,0,1
4,0,0,0,0,0,1
2,0,0.714286,0.114286,0,0,1
2,1,0,0,0,0,1
3,0,1,0,1,0,1
2,0,1,0,1,0,1
2,0,0,0,0,0,1
2,0,0,1,0,0,1
4,1,0.75,0,0,0,1
3,0,0.8,0.12,1,0,1
3,0,0,0,0,0,1
2,1,0,0,0,0,1
2,2,0,0,0,0,1
3,1,0.25,0.5,0,0,1
8,2,0,0,0,0,1
8,2,0,0,0,0,1
2,2,0,0,0,0,1
2,2,0,0,0,0,1
4,0,0.75,0,0,0,1
4,0,1,0,0,0,1
5,1,0.857143,0.071429,1,0,1
3,1,1,0,1,0,1
4,1,0,1,0,0,1
1,0,0,1,0,0,1
2,0,0,0,0,0,1
2,0,0,0,0,0,1
5,1,0.857143,0.071429,1,0,1
2,0,0.75,0.125,0,0,1
5,0,0.666667,0.333333,1,1,1
2,0,0,1,0,0,1
1,0,0,1,0,0,1
3,0,0,0,0,0,1
2,0,0,0,0,0,1
2,0,0.347826,0,0,0,1
1,1,0,0,0,0,1
1,1,0.5,0.5,0,0,1
5,1,0.941176,0,1,0,1
2,1,0.914163,0.008584,1,0,1
1,0,0,1,0,0,1
2,1,1,0,1,0,1
5,1,0.857143,0.071429,1,0,1
3,1,0,0,0,0,1
2,0,0.857143,0.142857,1,0,1
2,0,0.857143,0.142857,1,0,1
1,1,0,0,0,0,1
3,1,0,0,0,0,1
2,1,0.777778,0.222222,0,0,1
4,0,0,0,0,0,1
2,0,0,0,0,0,1
1,1,0,0,0,0,1
1,1,0,0,0,0,1
3,0,0,0,0,0,1
2,0,0,1,0,0,1
3,0,0,0,0,0,1
3,0,0,1,0,0,1
12,2,1,0,1,0,1
4,2,0,0,0,0,1
3,0,0,0,0,0,1
2,0,0.75,0.125,0,0,1
1,0,0,0,0,0,1
1,1,0,0,0,0,1
5,0,0,0,0,0,1
1,0,0.933333,0,1,0,1
3,0,0.090909,0,1,0,1
3,0,0.090909,0,1,0,1
3,0,0,0,0,0,1
1,0,0,1,0,0,1
2,0,1,0,1,0,1
1,0,0,0,0,0,1
2,0,0,1,0,0,1
3,2,1,0,0,0,1
2,0,0,0,0,0,1
2,0,0,0,0,0,1
2,0,0,0,0,0,1
2,0,1,0,1,0,1
3,0,0.909091,0,1,0,1
2,0,1,0,1,0,1
2,2,0.007299,0.934307,0,0,1
2,2,0.25,0.75,0,0,1
1,2,0.007299,0.934307,0,0,1
4,2,0,0,1,0,1
2,0,0,0.785714,0,0,1
4,2,0,0,1,0,1
4,2,0,0,1,0,1
2,1,1,0,0,0,1
3,1,1,0,1,0,1
6,3,0,0,0,0,1
2,1,1,0,0,0,1
2,1,1,0,0,0,1
2,0,0,0,0,0,1
4,1,0,1,0,0,1
1,0,1,0,1,0,1
2,1,0,0,0,0,1
2,1,0,0,0,0,1
2,0,0,1,1,0,1
6,3,0.002793,0.952514,0,0,1
4,2,0,0,0,0,1
4,2,0,0,0,0,1
4,2,0,0,0,0,1
1,0,0,0.923077,0,0,1
3,0,0,1,1,0,1
2,0,1,0,0,0,1
4,0,0.5,0.5,1,0,1
2,0,0,1,1,0,1
2,0,0,0,0,0,1
2,1,0,1,0,0,1
3,1,1,0,1,0,1
1,0,1,0,1,0,1
1,0,0,0,0,0,1
2,0,0.666667,0.333333,1,0,1
3,0,0,1,1,0,1
3,2,0,0,0,0,1
3,0,0,0,0,0,1
5,0,0,0,0,0,1
3,0,0.223684,0,0,0,1
2,0,0,1,0,0,1
2,1,0,1,0,0,1
2,0,0,0,0,0,1
5,1,0,0.975,0,0,1
5,1,0,0,0,0,1
8,2,0,0,0,0,1
8,1,0,0,0,0,1
5,1,0,0,0,0,1
4,0,0,0,0,0,1
2,0,0,0,0,0,1
2,0,0.923077,0,1,0,1
3,1,0,0,0,0,1
3,0,0,0,0,0,1
2,1,0,0,0,0,1
2,0,0,1,0,0,1
2,0,0,0,0,0,1
2,1,0.923077,0,1,0,1
2,0,0.857143,0.142857,1,0,1
2,0,0,0,0,0,1
3,0,0.888889,0,1,0,1
1,0,0,0,0,0,1
2,0,0,1,0,0,1
3,0,1,0,1,0,1
3,2,0,0,0,0,1
2,0,0,0,0,0,1
4,2,0,0,1,0,1
4,2,0,0,1,0,1
3,1,0,0.058824,0,0,1
3,0,0,0,1,0,1
1,0,0,1,1,0,1
4,0,1,0,1,0,1
4,2,0,0,1,0,1
4,2,0,0,1,0,1
1,0,0.913043,0.065217,1,0,1
3,1,1,0,1,1,1
4,1,0.857143,0.142857,1,0,1
1,1,0,0,0,0,1
1,1,0.923077,0,1,0,1
1,0,0,1,1,0,1
4,11,0.926829,0.02439,1,0,1
3,1,0,0,0,0,1
4,0,0,1,0,0,1
1,0,0,0,0,0,1
3,0,0,0,0,0,1
4,0,1,0,1,0,1
1,0,0,0,0,0,1
2,0,0,0,0,0,1
2,0,0,0,0,0,1
2,1,0,0,0,0,1
1,2,0,0,0,0,1
1,0,1,0,0,0,1
4,1,1,0,1,0,1
1,0,0,1,0,0,1
3,0,0,0,0,0,1
1,0,0,1,0,0,1
1,0,0,1,0,0,1
3,0,0,0,0,0,1
1,1,1,0,1,0,1
2,1,0,0,1,0,1
2,0,0,0,0,0,1
3,0,0,0,0,0,1
3,1,0,0,0,0,1
3,1,0,0,0,0,1
1,0,0,0,0,0,1
3,0,0.923077,0,1,0,1
1,0,0.942857,0.057143,1,0,1
5,4,0,0,0,0,1
2,1,0,0,0,0,1
2,1,0,0,0,0,1
2,0,0,0,0,0,1
2,1,0,1,0,0,1
3,0,1,0,0,0,1
2,0,0.923077,0,1,0,1
2,0,0.933333,0,1,0,1
2,1,0,0,0,0,1
2,1,0,0,0,0,1
3,1,1,0,1,0,1
2,0,0,0,0,0,1
4,0,0.923077,0,1,0,1
2,0,0.923077,0,1,0,1
2,1,0,0,0,0,1
2,1,0,0,0,0,1
2,1,0,0,0,0,1
5,1,0.471698,0.037736,1,0,1
4,1,0.972222,0.027778,0,0,1
4,1,0.471698,0.037736,1,0,1
2,1,0,0,0,0,1
2,1,1,0,1,0,1
1,0,1,0,1,0,1
1,0,1,0,1,0,1
2,1,0.933333,0,1,0,1
2,1,0,0,0,0,1
2,0,0,1,0,0,1
2,1,0.024752,0,0,0,1
4,0,1,0,0,0,1
2,0,0,1,0,0,1
2,1,0,0,0,0,1
2,0,1,0,1,0,1
5,1,0.471698,0.037736,1,0,1
2,1,1,0,1,0,1
2,0,0,1,0,0,1
2,0,0.785714,0.214286,0,0,1
2,0,1,0,1,0,1
2,0,0,0,0,0,1
2,0,1,0,1,0,1
2,0,1,0,1,0,1
2,1,0,0,0,0,1
2,1,0,0,0,0,1
3,1,0.933333,0,1,0,1
3,2,0,0,0,0,1
4,5,0,1,0,0,1
2,0,1,0,1,0,1
4,0,0,0,0,0,1
3,0,0.090909,0,1,0,1
1,0,0,0.923077,0,0,1
3,1,0,0,0,0,1
3,1,0,0,0,0,1
3,1,0.974359,0,0,0,1
1,0,0,1,1,0,1
4,2,0,0,1,0,1
2,0,0,0,0,0,1
